file`tsource`texp_no`ttitle
exp_7_1_binary_colormap.R	assessment3	7.1	Binary Colormap
exp_7_2_categorical_colormap.R	assessment3	7.2	Categorical Colormap
exp_7_3_sequential_colormap.R	assessment3	7.3	Sequential Colormap
exp_7_4_diverging_colormap.R	assessment3	7.4	Diverging Colormap
exp_7_5_multi_plot_layout_2_2_all_colormaps.R	assessment3	7.5	Multi-plot Layout (2Ã—2) â€“ All Colormaps
exp_8_1_choropleth_map_usarrests.R	assessment3	8.1	Choropleth Map â€“ USArrests
exp_8_2_hexagonal_binning_map_earthquakes_near_fiji.R	assessment3	8.2	Hexagonal Binning Map â€“ Earthquakes near Fiji
exp_8_3_dot_map_us_cities_population_100_000.R	assessment3	8.3	Dot Map â€“ US Cities (Population > 100,000)
exp_9_1_dax_time_series_loading_exploration_stationarity_test.R	assessment3	9.1	DAX Time Series â€“ Loading, Exploration & Stationarity Test
exp_9_2_log_returns_transformation_acf_pacf_analysis.R	assessment3	9.2	Log Returns Transformation & ACF/PACF Analysis
exp_9_3_arima_modeling_forecasting_evaluation.R	assessment3	9.3	ARIMA Modeling, Forecasting & Evaluation
